"Descrizione";"Indirizzo";"Comune";"Provincia";"Raggio di validità (in metri)";"Tipologia di scansione accettata";"Stampa tag"
"1 MAG - SAN MAURO PASCOLI";"VIA FEDERICO FELLINI, 75";"SAN MAURO PASCOLI";"FORLI E CESENA";"100";"Qualsiasi";""
"101 - RIMINI VIA FLAMINIA";"VIA FLAMINIA, 403";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"101 - RIMINI VIA ITALIA";"VIA ITALIA, 33";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"101 - SAN GIOVANNI IN MARIGNANO";"VIA DEGLI IPPOCASTANI,, 5";"SAN GIOVANNI IN MARIGNANO";"RIMINI";"300";"Qualsiasi";""
"3C - RIMINI";"CIRCONVALLAZIONE NUOVA, 27";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ACER CONDOMINIO VIA PASCOLI - RIMINI";"PASCOLI, SNC";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"ACER VIA NOVELLI 13 - RIMINI";"NOVELLI , 13";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ACR DI REGGIANI - RIMINI";"RAIBANO, 32";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"ACROBATIC - RICCIONE";"MARTINELLI, 21";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"ADRIA ASPIRAZIONI - TAVULLIA";"VIA PIRANO, 10";"TAVULLIA";"PESARO E URBINO";"100";"Qualsiasi";""
"ADRIA CONGREX CSR - RIMINI";"VIA SASSONIA, 30";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ADRIACOOP - RIMINI - SOSTITUZIONI";"DINA SASSOLI, 24";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"AIRIMINUM - RIMINI AEROPORTO FELLINI";"VIA FLAMINIA, 409";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"AIRIMINUM - RIMINI CASERMA VIGILI DEL FUOCO";"VIA BERNARDINO VARISCO, 1/A";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"AKRON - CORIANO";"RAIBANO, 32";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"ALBATROS DARSENA - RIMINI";"VIA ORTIGARA, 63";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ALEA FASHION INDUSTRIES - SAVIGNANO";"VIA EMILIA OVEST, 83";"SAVIGNANO SUL RUBICONE";"FORLI E CESENA";"100";"Qualsiasi";""
